casualty_group,killed,injured,total_casualties,proportion_killed
759,0,1,1,0
760,0,0,0,NA
761,0,0,0,NA
762,0,0,0,NA
763,0,0,0,NA
764,0,0,0,NA
765,0,0,0,NA
766,0,0,0,NA
767,0,0,0,NA
768,0,0,0,NA
769,0,0,0,NA
770,0,0,0,NA
771,0,0,0,NA
772,0,0,0,NA
773,0,0,0,NA
774,0,0,0,NA
775,0,0,0,NA
776,0,0,0,NA
777,0,0,0,NA
778,0,0,0,NA
779,0,0,0,NA
780,0,0,0,NA
781,0,0,0,NA
782,0,0,0,NA
783,0,0,0,NA
784,0,0,0,NA
785,0,0,0,NA
786,0,0,0,NA
787,6,54,60,0.1
788,0,0,0,NA
789,0,0,0,NA
790,0,0,0,NA
791,0,0,0,NA
792,0,0,0,NA
793,0,0,0,NA
794,0,0,0,NA
795,NA,NA,7,NA
796,0,0,0,NA
797,0,0,0,NA
798,0,0,0,NA
799,0,0,0,NA
800,0,0,0,NA
801,0,0,0,NA
802,0,0,0,NA
803,0,0,0,NA
804,0,0,0,NA
805,0,0,0,NA
806,0,0,0,NA
807,0,0,0,NA
808,0,0,0,NA
809,0,0,0,NA
810,0,0,0,NA
811,0,5,5,0
812,0,0,0,NA
813,0,0,0,NA
814,0,0,0,NA
815,0,0,0,NA
816,0,0,0,NA
817,0,0,0,NA
818,0,0,0,NA
819,0,0,0,NA
820,0,0,0,NA
821,0,0,0,NA
822,0,0,0,NA
823,0,0,0,NA
824,0,0,0,NA
825,0,0,0,NA
826,0,0,0,NA
827,0,0,0,NA
828,0,0,0,NA
829,0,0,0,NA
830,0,0,0,NA
831,0,0,0,NA
832,0,0,0,NA
833,0,0,0,NA
834,0,0,0,NA
835,0,0,0,NA
836,0,0,0,NA
837,0,0,0,NA
838,0,0,0,NA
839,0,0,0,NA
840,0,0,0,NA
841,0,0,0,NA
842,0,0,0,NA
843,0,0,0,NA
844,0,0,0,NA
845,0,0,0,NA
846,0,0,0,NA
847,0,0,0,NA
848,0,0,0,NA
849,0,0,0,NA
850,0,0,0,NA
851,0,0,0,NA
852,0,0,0,NA
853,0,0,0,NA
854,0,0,0,NA
855,0,0,0,NA
856,0,0,0,NA
857,0,0,0,NA
858,0,0,0,NA
859,0,0,0,NA
860,0,0,0,NA
861,0,0,0,NA
862,0,0,0,NA
863,0,1,1,0
864,0,0,0,NA
865,0,0,0,NA
866,0,0,0,NA
